,Left_side,Right_side,Support,Confidence,Lift
0,,/,0.3739040742650851,0.3739040742650851,1.0
1,,/direct.html,0.04538421866941723,0.04538421866941723,1.0
2,,/eaglefarm,0.04332129963898917,0.04332129963898917,1.0
3,,/eaglefarm/,0.13047962867457452,0.13047962867457452,1.0
4,,/eaglefarm/contact,0.04538421866941723,0.04538421866941723,1.0
5,,/eaglefarm/contact/,0.04589994842702424,0.04589994842702424,1.0
6,,/eaglefarm/javascript/menu.js,0.14337287261474987,0.14337287261474987,1.0
7,,/eaglefarm/pdf/Web_Price_List.pdf,0.08303249097472924,0.08303249097472924,1.0
8,,/eaglefarm/pricelist,0.09179989685404848,0.09179989685404848,1.0
9,,/eaglefarm/pricelist/,0.0892212480660134,0.0892212480660134,1.0
10,,/eaglefarm/specials/,0.05002578648788035,0.05002578648788035,1.0
11,,/favicon.ico,0.10933470861268695,0.10933470861268695,1.0
12,,/more.html,0.07168643630737494,0.07168643630737494,1.0
13,,/richlands,0.0407426508509541,0.0407426508509541,1.0
14,,/richlands/,0.040226921093347086,0.040226921093347086,1.0
15,,/robots.txt,0.20216606498194944,0.20216606498194944,1.0
16,,/services.html,0.12016503352243424,0.12016503352243424,1.0
17,/,/favicon.ico,0.06756059824651882,0.18068965517241378,1.6526284970722187
18,/favicon.ico,/,0.06756059824651882,0.6179245283018868,1.6526284970722187
19,/,/more.html,0.05776173285198556,0.15448275862068966,2.1549789134209876
20,/more.html,/,0.05776173285198556,0.8057553956834532,2.154978913420987
21,/,/services.html,0.10056730273336771,0.2689655172413793,2.238301021163238
22,/services.html,/,0.10056730273336771,0.8369098712446352,2.238301021163238
23,/eaglefarm/,/eaglefarm/javascript/menu.js,0.11242908715832904,0.8616600790513834,6.009924076549037
24,/eaglefarm/javascript/menu.js,/eaglefarm/,0.11242908715832904,0.7841726618705036,6.009924076549037
25,/eaglefarm/,/eaglefarm/pdf/Web_Price_List.pdf,0.06498194945848375,0.4980237154150197,5.997937789998281
26,/eaglefarm/pdf/Web_Price_List.pdf,/eaglefarm/,0.06498194945848375,0.7826086956521738,5.997937789998281
27,/eaglefarm/,/eaglefarm/pricelist,0.07426508509541001,0.5691699604743083,6.200115468312831
28,/eaglefarm/pricelist,/eaglefarm/,0.07426508509541001,0.8089887640449439,6.2001154683128314
29,/eaglefarm/,/eaglefarm/pricelist/,0.07478081485301702,0.5731225296442688,6.423610317804839
30,/eaglefarm/pricelist/,/eaglefarm/,0.07478081485301702,0.8381502890173411,6.423610317804839
